OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
37,D0185,ENOGGERA CREEK RESERVE,B-RE-1964,547,WATERWORKS ROAD,ASHGROVE,4060,152.975857512422,-27.4456992501642,1671.64283989562,46276.3757488884
38,D0186,ASHGROVE SPORTSGROUND PARK,B-RE-1963,258,ACACIA DRIVE,ASHGROVE,4060,152.973459570442,-27.441863188331,1334.72545050121,110933.289189192
39,D0187,STEWART PLACE PARK,B-RE-1962,8,STEWART ROAD,ASHGROVE,4060,152.991798439221,-27.4454375891597,111.849626440033,849.667524198536
40,D0188,ASHGROVE MEMORIAL PARK,B-RE-1961,19,KADANGA STREET,ASHGROVE,4060,152.990765953923,-27.4447955490093,417.908306640272,6128.86081445557
41,D0189,T. M. BURKE PARK,B-RE-1960,64,STEWART ROAD,ASHGROVE,4060,152.9901219977,-27.4427835726667,273.972788494016,4646.37250380898
42,D0190,SEILS PARK,B-RE-1959,27,TOOMBA AVENUE,ASHGROVE,4060,152.996599023169,-27.4373735398121,1005.0847519282,18092.7635435852
43,D0191,GILBERT PARK,B-RE-1958,98,FULCHER ROAD,RED HILL,4059,152.996988293598,-27.4483041290241,1220.69000700724,36713.7956926859
44,D0192,WOOLCOCK PARK,B-RE-0020,92,WATERWORKS ROAD,RED HILL,4059,152.999343031029,-27.4492966796827,989.864410198413,22371.0630143211
45,D0193,TENNIS AVENUE PARK,B-RE-1957,35,TENNIS AVENUE,ASHGROVE,4060,153.002092920328,-27.442723685704,831.15980417623,17924.7820747578
46,D0194,CORBIE STREET PARK,B-RE-1956,34,CORBIE STREET,ASHGROVE,4060,153.002173664705,-27.4391244547947,1818.86918011345,42768.2383231737
47,D0196,PRAED STREET PARK,B-RE-1955,38,MURRAY STREET,RED HILL,4059,153.003725387713,-27.4456500964715,345.823828192867,6725.63155667347
48,D0197,BANCROFT PARK,B-RE-1954,360,KELVIN GROVE ROAD,KELVIN GROVE,4059,153.0060193095,-27.4437640748684,575.912684592305,15763.7997543393
49,D0198,PICOT STREET PARK,B-RE-1953,72,PICOT STREET,KELVIN GROVE,4059,153.011778708745,-27.4425225919092,1459.93383104646,23989.7987769444
50,D0199,WALLY BOURKE PARK,B-RE-1952,4,KATE STREET,GORDON PARK,4031,153.029670905162,-27.4213952080204,767.732125050987,14430.248708775
51,D0200,KOKODA PARK,B-RE-1951,7,TINDAL STREET,GORDON PARK,4031,153.027636652361,-27.421785517173,734.564920486897,11903.877472257
52,D0201,ARCHER STREET PARK,B-RE-1950,26,ARCHER STREET,GORDON PARK,4031,153.024950665782,-27.4216700182717,604.748690037644,8993.17701769389
53,D0202,GORDON PARK PLAYGROUND PARK,B-RE-1949,55,KHARTOUM STREET,GORDON PARK,4031,153.027730668578,-27.4143078506383,201.168285970052,2428.11557133385
54,D0203,HICKEY PARK,B-RE-1948,35,BABARRA STREET,STAFFORD,4053,153.020200257773,-27.4148929416444,1832.78213233967,110589.67541182
55,D0204,GIBSON PARK,B-RE-1947,10,NICOL STREET,STAFFORD,4053,153.014225960769,-27.4126233613816,1217.04001829332,59619.1274354376
56,D0205,ROY HARVEY PARK,B-RE-1714,34,BYTH STREET,STAFFORD,4053,153.006236711366,-27.4105817163146,679.026871037688,26946.4461515736
57,D0206,BOLES STREET PARK,B-RE-1715,46,OGDEN STREET,STAFFORD,4053,153.002504131176,-27.4061786778972,684.550313139121,22392.5200565519
58,D0208,TERALBA PARK,B-RE-1716,120,PULLEN ROAD,EVERTON PARK,4053,152.98159186815,-27.4053349799533,3107.44532440827,263542.414779435
59,D0209,PULLEN ROAD PARK,B-RE-1778,266,OSBORNE ROAD,EVERTON PARK,4053,152.978624990429,-27.403294570976,784.923334266907,9500.35829693335
60,D0210,BROULA PARK,B-RE-1777,55,DORRIGO STREET,STAFFORD HEIGHTS,4053,153.020825738943,-27.4039634864359,398.355832449983,8458.46497460397
61,D0211,AMOTT STREET PARK,B-RE-1776,20,RINGROSE STREET,STAFFORD HEIGHTS,4053,153.01625018148,-27.3991848612324,459.279740077966,6070.65168123361
62,D0212,ALDREN STREET PARK,B-RE-1775,1,MARYLAND STREET,STAFFORD HEIGHTS,4053,153.012055237658,-27.3958246121797,222.367454336354,2352.02592070987
63,D0213,MELALEUCA GREEN PARK,B-RE-1774,26,KINNERTON STREET,CHERMSIDE WEST,4032,153.009514061952,-27.3868443397994,1236.59113215854,29963.7241607293
64,D0214,HUXTABLE PARK,B-RE-1773,61,MAUNDRELL TERRACE,CHERMSIDE WEST,4032,153.016656218,-27.3880316409999,2658.53928095554,121145.786810451
65,D0215,WHITES ROAD PARK,B-RE-1772,751,HAMILTON ROAD,CHERMSIDE WEST,4032,153.00900307054,-27.3822592310119,241.547175196429,3708.96557854137
